song,artist,genres
Rocket No 9,Litz,['jamtronica']
Memory Foam,The Paranoyds,['la indie']
"Variations on a Theme of Frank Bridge, Op 10 Var IX Chant",Benjamin Britten,"['british modern classical', 'classical', 'early modern classical', 'neoclassicism']"
Kuntree Thicc (feat Midas Wright),The Stixxx,"['country rap', 'redneck']"
Humming Tone,Binaural Beats Brainwave Entrainment,"['binaural', 'brain waves', 'sleep']"
It's U (Diamond Version),Petal Supply,['hyperpop']
MKE To CHI,Ian Ewing,['chillhop']
Xhixhileja,Altin Sulku,"['albanian pop', 'popullore jugu', 'tallava']"
Time Is Up,MAYDAY!,['miami hip hop']
Born Without a Brain,Pulgas,['experimental indie']
Emotional Gore,Creature People,['normal indie']
New Wave,GueroX,"['corridos tumbados', 'sad sierreno', 'sierreno']"
homura (Morning Beauty Piano Cover) Theme - From The Movie Demon Slayer Kimetsu no Yaiba,Circle of Notes,['bgm']
I Think We're in Danger,Bond St District,['baltimore indie']
Come Through And Chill,Salaam Remi,['hip hop']
Si Miran Que Ando Loco (En Vivo),Jesus Adame,['corridos tumbados']
Runaway,Ithacappella,['college a cappella']
Sing in the Darkness,Ginny Owens,['christian music']
You Complete Me,Sean Ardoin,['zydeco']
On the Bus,SubsoiL,['rochester ny indie']
Green Venom (feat Banda La Recia),Mariachi Sol De Mi Tierra,['musica sinaloense']
Too Much,Jimmy Donn,['horrorcore']
The King in Yellow,KROWW,['deathstep']
Reach for the Stars,Tylerl,['lo-fi sleep']
Surnorte - Remix,Gio Chamba,['houston indie']
Bodies (feat Jadakiss),Flawless Real Talk,['rhode island rap']
Time to Go (Live in Hamburg) - 2015,Saga,['progressive rock']
Vendaval sin Rumbo,Los Sagitarios,['grupera']
If I Didn't Build It,The Pomps,['modern ska punk']
Bad Love (Camo & Krooked Remix),RY X,"['indie anthem-folk', 'indie folk']"
Fire (feat pennybirdrabbit) - Tyzo Bloom Remix,EMBRZ,"['melodic house', 'vapor soul']"
Yoga Healing,Lullabies for Deep Meditation,['sleep']
Intro,Guerrilla Theory,['stl indie']
Ahmar Ya Shal,Eslam Fahmy,['egyptian pop']
Flava in Ya Ear,Skilla Baby,['detroit hip hop']
NEVER PICKED (feat Lidnesty),Kresnt,"['bc underground hip hop', 'canadian contemporary r&b', 'canadian hip hop', 'hip hop quebecois']"
1 X 1,Sharrod Sloans,['milwaukee hip hop']
Game Done Changed,Young Curt,"['cali rap', 'hyphy']"
Alte Zeit,Sinna,['christlicher rap']
Nothing Nice to Say,Mogli the Iceburg,"['christian hip hop', 'christian trap']"
Chicken Fried - The Voice Performance,Ashland Craft,['country pop']
Close Your Eyes (Hello Neighbor),Rockit Music,"['otacore', 'pixel']"
The God of Loss (feat Deni) - Piano Version,Darlingside,"['boston folk', 'folk-pop', 'indie folk', 'new england americana']"
Destiny Screams,Tryhardninja,"['antiviral pop', 'otacore', 'pixel']"
Concrete Roze,Nell,"['cloud rap', 'underground hip hop']"
Thoughts Before Sleep,Remember to Breathe,['south dakota indie']
Guava,Wavvy,['hawaiian hip hop']
No Problem - Instrumental,Sukiyaki Beats,"['beats', 'drill beats', 'trap beats']"
Ostinato (Prelude),Ryan Keberle,['jazz brass']
El Tanke,Chocolate Mc,"['cubaton', 'reparto']"
Fragments,Rhadow,['romanian electronic']
Peace,The Gloom In The Corner,"['australian post-hardcore', 'metalcore', 'metallic hardcore', 'nu-metalcore']"
Get Your Money Girl,Miss Portia,['southern soul blues']
Snake Eater,Big'n,"['math rock', 'noise rock']"
Me & My Glock,Glizzy,['virginia hip hop']
I Wrote This For You,Cassidy,"['battle rap', 'hardcore hip hop', 'hip pop', 'philly rap', 'southern hip hop', 'trap']"
Loving girlfriend helps you go to sleep with a twist Pt1,RoseASMR,['asmr']
Quiet Passion,Sex Music Zone,['erotica']
I Thank You God,Susquehanna Chorale,['american choir']
2U - Tom Martin Remix,David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']"
Rain Sounds - Relax,"Sounds Of Nature  Thunderstorm, Rain","['environmental', 'sound']"
Respect Frank,Fetty P Franklin,['north carolina hip hop']
Happy New Year,LL Kids Nursery Rhymes,['lullaby']
Don't Trust Jamaican Man,Mighty Sparrow,"['calypso', 'soca']"
Hilos,Andrea Cruz,['puerto rican indie']
Southbound Sunshine (Demo Version),Vox Vocis,['progressive post-hardcore']
Mammas Don't Let Your Babies Grow Up To Be Cowboys,Jerrod Flusche,['red dirt']
El Phantasmo And The Chicken-Run Blast-O-Rama - Live At Riot Fest  2016,Rob Zombie,"['alternative metal', 'hard rock', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']"
Chill Out Soundscapes for Yoga Rain and Sublime Harmonics,Nature Sounds Artists,"['environmental', 'sleep']"
Binaural Beats and Ocean For Deep Sleep,Binaural Beats,"['binaural', 'brain waves', 'sleep']"
CJ,Sada Baby,"['detroit trap', 'scam rap']"
Caitlin Bree,Ammo for My Arsenal,['texas metal']
Inspire Sea Songs and Deep Sleep,Ocean Sounds Plus,"['environmental', 'ocean', 'sound', 'water']"
Our Father Cares (Audio Bible Verses for Sleep with Relaxing Piano Music),Peaceful Scriptures,['bible']
Good Friend,Weakened Friends,"['boston indie', 'bubblegrunge', 'diy emo', 'maine indie']"
Mo Ways,Shad Da God,"['atl hip hop', 'atl trap']"
New Wizard Anthem - Live,Harry and the Potters,['wrock']
Home Instead,Chubby Carrier And The Bayou Swamp Band,"['swamp pop', 'zydeco']"
"Long March Symphony II Red Army, the Beloved of the Various Nationalities",Shanghai Symphony Orchestra,['chinese classical performance']
Pirates of the Caribbean On Stranger Tides End Credits,Jartisto,['piano cover']
Quien Dijo Que No,Cano de Cali,"['narco rap', 'tamaulipas rap']"
Toffee - Dope RnB Rap Beat Mix,LOOPGOONZ BEATS,['beats']
Path to Returning,Jeff Pearce,"['ambient', 'chapman stick', 'deep ambient', 'drift']"
Cobble Stone Relaxation,Beverly Hills Pet Spa,['pet calming']
T Y Yo Terminamos,Cristian Jacobo,"['banda', 'musica mexicana', 'sierreno']"
1019Workhorse,Hitta Jugg,['dmv rap']
